Sample;Package;Version;Model;Rank;QC;Drug A;Drug B;Synergy Score;Median (syn);MAD (syn);Mean (syn);SEM (syn);SD (syn);Median/MAD (syn);Mean/SD (syn);Maximum (syn);Antagonism Score;Median (ant);MAD (ant);Mean (ant);SEM (ant);SD (ant);Median/MAD (ant);Mean/SD (ant);Maximum (ant);EC50 (Drug A);EC50 (Drug B);bayesfactor;observation noise;kernel length scale;kernel amplitude;divergent;max_treedepth
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;25;PASS;Paclitaxel (NSC 125973);Temsirolimus (CCI-779);7,03310715387202;7,03310715387202;3,44313841037224;6,85163755672965;0,120443662404998;3,35137281422328;2,04264433073188;2,04442851899333;18,1243569460509;0,609878844276083;0,609878844276083;0,903653514359961;1,03468720712725;0,039660701323979;1,23885897352277;0,674903416613223;0,835193697782286;10,2656684105966;10,96875731357;125,096672397705;7,2921895337962;0,0669302362772983;14,3376071192262;0,497299346708935;0;0
OVCAR-8 R1;bayesynergy;2.5.1;Bayesian;26;PASS;Navitoclax (ABT-263);Trametinib (GSK1120212);6,97038662144724;6,97038662144724;2,37001928286375;6,86947651864802;0,0790150990377724;2,61169604271065;2,94106747225481;2,63027421600834;16,7826227655019;0,325213871590572;0,325213871590572;0,482065059706702;0,698550936178639;0,0263615483938279;0,956453878106074;0,674626515741339;0,730355066949885;8,13336161202444;5255,20925075867;16,1886716955242;23,5505320187674;0,0637699738214975;6,43368529801226;0,699041392117596;0;0
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;27;PASS;Paclitaxel (NSC 125973);Tamoxifen (ICI 46474);6,97000915416876;6,97000915416876;4,19145828198971;6,93924133785731;0,129384085352204;3,91159843359944;1,66290791539503;1,77401820649292;20,2580211540055;0,121550825398688;0,121550825398688;0,180183118452941;0,721745706961368;0,0317139869280652;1,16879141195267;0,674596080045277;0,61751455356398;7,49239552831618;11,0759945678273;24523,515060864;5,92480855674253;0,0863179824136635;11,3412439827653;0,545023479979671;0;0
OVCAR-8 R1;bayesynergy;2.5.1;Bayesian;28;PASS;Olaparib (AZD2281);Cerdulatinib (PRT062070, PRT2070);6,90394901361272;6,90394901361272;7,19170844587854;6,39205463832333;0,315993121067337;5,23364393991502;0,959987333408832;1,2213460005761;22,931488738339;1,48461429925987;1,48461429925987;1,84645102838647;2,14233373341229;0,0807656090925084;2,25963639398313;0,804036650003768;0,948087815861355;17,6951429130788;17071,3720947042;853899017,108949;4,73499782694163;0,0927176896207432;6,68983728119639;2,36476454967956;0;12
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;29;PASS;Fludarabine (Fludara);Trametinib (GSK1120212);6,90100213839509;6,90100213839509;3,26308963359645;6,74970589967289;0,157327293448415;3,32617213082801;2,1148674763154;2,02927274076683;23,1582399197093;1,13164327252094;1,13164327252094;1,05559537531052;1,39046601746845;0,0320472576626573;1,17186622620653;1,07204265856891;1,18653988516211;8,73531641920409;10853,0614761542;89,0497337931622;6,09291556523045;0,0634077795038227;2,74969176923318;0,599407983544744;0;0
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;30;PASS;Erlotinib;Paclitaxel (NSC 125973);6,61627469794528;6,61627469794528;3,25279903078486;6,51277583924622;0,103520468012455;3,21881567911813;2,03402504591526;2,0233463619721;16,1952097496219;8,62668469939143e-05;8,62668469939143e-05;0,000105035341394942;0,201488230437548;0,0178351446767826;0,496346172274401;0,8213125777308;0,405942952101898;4,05762929941142;11396,4537562321;10,2395666421496;5,19007431081533;0,0636769584180891;176,898964625382;0,306322205348908;0;0
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;31;PASS;MK-2206 2HCl;Trametinib (GSK1120212);6,59756275232398;6,59756275232398;4,63255013877289;6,56486612766595;0,655793525053836;4,09719836722854;1,42417514213275;1,60228298029838;20,1121218023151;0,0174712896056769;0,0174712896056769;0,0258949232463294;0,41636813109179;0,0701077561135324;0,835915072220473;0,674699416541171;0,498098604665394;7,29495119670279;11854,9190324666;219,524267927964;27,6279071359873;0,0740531080082535;14,1363516661802;0,556812383885923;19;0
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;32;PASS;Gedatolisib (PKI-587);Trametinib (GSK1120212);6,21341432627457;6,21341432627457;2,82087592012329;6,17031528427144;0,0935711264336444;2,89792155692864;2,20265424719674;2,12922140797666;15,8610405388637;8,3887805745402e-05;8,3887805745402e-05;0,000100614965521955;0,133154106533892;0,00966674573829571;0,357980933068289;0,833750777632546;0,371958655430656;3,56515050312;944,400032953468;84,6389991727148;8,63287700488846;0,0571369378092626;19,3183751720781;0,306746808744769;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;33;PASS;Navitoclax (ABT-263);Niraparib (MK-4827);6,0603758786513;6,0603758786513;4,68761489166316;6,20827540652474;0,130275127059182;4,12977268943576;1,29284849944255;1,50329904544185;20,0898164802646;8,39297586707209e-05;8,39297586707209e-05;9,39492259829332e-05;0,185186051674219;0,0117538545358791;0,501452085100746;0,893352316558388;0,369299594470753;5,33282288277116;47134,0846700578;9228,77170152009;4,2281340206439;0,0731822372179389;17,0274771275066;0,477837903094607;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;34;PASS;Niraparib (MK-4827);Panobinostat (LBH589);5,83604948100353;5,83604948100353;4,35331780968123;5,95550224348953;0,126550098338052;3,89223548067328;1,34059807625919;1,53010032172146;17,7523219326342;0,01482229499564;0,01482229499564;0,0219645982974425;0,321182707969858;0,015067522418687;0,660744198928765;0,674826591177218;0,486092361447254;5,89682746962902;11711,6318365974;172,848331768953;3,75185257982958;0,0817166474530689;21,9147365177347;0,491763981838758;0;0
