"Well","Drug","Concentration","Unit","PlateID"
"C7","Erlotinib",0.0390625,"mM","M006"
"C8","Flavopiridol (L86-8275) HCl",2.5,"mM","M006"
"C9","Flavopiridol (L86-8275) HCl",0.833333333333333,"mM","M006"
"C10","Flavopiridol (L86-8275) HCl",0.277777777777778,"mM","M006"
"C11","Flavopiridol (L86-8275) HCl",0.0925925925925926,"mM","M006"
"C12","Flavopiridol (L86-8275) HCl",0.0308641975308642,"mM","M006"
"C13","Fludarabine (Fludara)",10,"mM","M006"
"C14","Fludarabine (Fludara)",5,"mM","M006"
"C15","Fludarabine (Fludara)",2.5,"mM","M006"
"C16","Fludarabine (Fludara)",1.25,"mM","M006"
"C17","Fludarabine (Fludara)",0.625,"mM","M006"
"C18","Gemcitabine (LY-188011) HCl",6,"mM","M006"
"C19","Gemcitabine (LY-188011) HCl",1.5,"mM","M006"
"C20","Gemcitabine (LY-188011) HCl",0.375,"mM","M006"
"C21","Gemcitabine (LY-188011) HCl",0.09375,"mM","M006"
"C22","Gemcitabine (LY-188011) HCl",0.0234375,"mM","M006"
"C23","Lapatinib Ditosylate (Tykerb)",10,"mM","M006"
"C24","Lapatinib Ditosylate (Tykerb)",1.42857142857143,"mM","M006"
"D1","Lapatinib Ditosylate (Tykerb)",0.204081632653061,"mM","M006"
"D2","Lapatinib Ditosylate (Tykerb)",0.0291545189504373,"mM","M006"
"D3","Lapatinib Ditosylate (Tykerb)",0.0041649312786339,"mM","M006"
"D4","Metformin",10,"mM","M006"
"D5","Metformin",5,"mM","M006"
"D6","Metformin",2.5,"mM","M006"
"D7","Metformin",1.25,"mM","M006"
"D8","Metformin",0.625,"mM","M006"
"D9","MK-2206 2HCl",10,"mM","M006"
"D10","MK-2206 2HCl",2,"mM","M006"
"D11","MK-2206 2HCl",0.4,"mM","M006"
"D12","MK-2206 2HCl",0.08,"mM","M006"
"D13","MK-2206 2HCl",0.016,"mM","M006"
"D14","Navitoclax (ABT-263)",10,"mM","M006"
"D15","Navitoclax (ABT-263)",5,"mM","M006"
"D16","Navitoclax (ABT-263)",2.5,"mM","M006"
"D17","Navitoclax (ABT-263)",1.25,"mM","M006"
"D18","Navitoclax (ABT-263)",0.625,"mM","M006"
"D19","Niclosamide (BAY2353)",10,"mM","M006"
"D20","Niclosamide (BAY2353)",2.5,"mM","M006"
"D21","Niclosamide (BAY2353)",0.625,"mM","M006"
"D22","Niclosamide (BAY2353)",0.15625,"mM","M006"
"D23","Niclosamide (BAY2353)",0.0390625,"mM","M006"
"D24","Niraparib (MK-4827)",10,"mM","M006"
"E1","Niraparib (MK-4827)",5,"mM","M006"
"E2","Niraparib (MK-4827)",2.5,"mM","M006"
"E3","Niraparib (MK-4827)",1.25,"mM","M006"
"E4","Niraparib (MK-4827)",0.625,"mM","M006"
"E5","Olaparib (AZD2281)",10,"mM","M006"
"E6","Olaparib (AZD2281)",5,"mM","M006"
"E7","Olaparib (AZD2281)",2.5,"mM","M006"
"E8","Olaparib (AZD2281)",1.25,"mM","M006"
"E9","Olaparib (AZD2281)",0.625,"mM","M006"
"E10","Paclitaxel (NSC 125973)",4,"mM","M006"
"E11","Paclitaxel (NSC 125973)",0.5,"mM","M006"
"E12","Paclitaxel (NSC 125973)",0.0625,"mM","M006"
"E13","Paclitaxel (NSC 125973)",0.0078125,"mM","M006"
"E14","Paclitaxel (NSC 125973)",0.0009765625,"mM","M006"
"E15","Palbociclib",10,"mM","M006"
"E16","Palbociclib",5,"mM","M006"
"E17","Palbociclib",2.5,"mM","M006"
"E18","Palbociclib",1.25,"mM","M006"
"E19","Palbociclib",0.625,"mM","M006"
"E20","Panobinostat (LBH589)",2,"mM","M006"
"E21","Panobinostat (LBH589)",0.4,"mM","M006"
"E22","Panobinostat (LBH589)",0.08,"mM","M006"
"E23","Panobinostat (LBH589)",0.016,"mM","M006"
"E24","Panobinostat (LBH589)",0.0032,"mM","M006"
"F1","Pictilisib (GDC-0941)",10,"mM","M006"
"F2","Pictilisib (GDC-0941)",1.66666666666667,"mM","M006"
"F3","Pictilisib (GDC-0941)",0.277777777777778,"mM","M006"
"F4","Pictilisib (GDC-0941)",0.0462962962962963,"mM","M006"
"F5","Pictilisib (GDC-0941)",0.00771604938271605,"mM","M006"
"F6","Ruxolitinib (INCB018424)",10,"mM","M006"
"F7","Ruxolitinib (INCB018424)",5,"mM","M006"
"F8","Ruxolitinib (INCB018424)",2.5,"mM","M006"
"F9","Ruxolitinib (INCB018424)",1.25,"mM","M006"
"F10","Ruxolitinib (INCB018424)",0.625,"mM","M006"
"F11","Selumetinib (AZD6244)",10,"mM","M006"
"F12","Selumetinib (AZD6244)",3.33333333333333,"mM","M006"
"F13","Selumetinib (AZD6244)",1.11111111111111,"mM","M006"
"F14","Selumetinib (AZD6244)",0.37037037037037,"mM","M006"
"F15","Selumetinib (AZD6244)",0.123456790123457,"mM","M006"
"F16","Sorafenib (Nexavar)",8,"mM","M006"
"F17","Sorafenib (Nexavar)",4,"mM","M006"
"F18","Sorafenib (Nexavar)",2,"mM","M006"
"F19","Sorafenib (Nexavar)",1,"mM","M006"
"F20","Sorafenib (Nexavar)",0.5,"mM","M006"
"F21","Temsirolimus (CCI-779)",1,"mM","M006"
"F22","Temsirolimus (CCI-779)",0.1,"mM","M006"
"F23","Temsirolimus (CCI-779)",0.01,"mM","M006"
"F24","Temsirolimus (CCI-779)",0.001,"mM","M006"
"G1","Temsirolimus (CCI-779)",1e-04,"mM","M006"
