Sample;Drug;Status;Model;ED10;ED50;ED90;minED10;maxED90;avgED10;avgED90;medED10;medED90;Unit
OVCAR-8 R1;Flunarizine 2HCl;responder;LL.4;3604,9046442762;14894,0226741541;61536,1384857816;3604,9046442762;61536,1384857816;3604,9046442762;61536,1384857816;3604,9046442762;61536,1384857816;nM
OVCAR-8 R2;Flunarizine 2HCl;failed;NA;NA;NA;NA;3604,9046442762;61536,1384857816;3604,9046442762;61536,1384857816;3604,9046442762;61536,1384857816;nM
OVCAR-8 R3;Flunarizine 2HCl;failed;NA;NA;NA;NA;3604,9046442762;61536,1384857816;3604,9046442762;61536,1384857816;3604,9046442762;61536,1384857816;nM
OVCAR-8 R1;Gedatolisib (PKI-587);responder;LL.4;147,89223032628;506,13285104794;1732,14280658796;147,89223032628;6293,01577061651;246,076828934358;4027,06639403044;220,302773077698;4056,04060488685;nM
OVCAR-8 R2;Gedatolisib (PKI-587);responder;LL.4;370,035483399096;1525,98792023994;6293,01577061651;147,89223032628;6293,01577061651;246,076828934358;4027,06639403044;220,302773077698;4056,04060488685;nM
OVCAR-8 R3;Gedatolisib (PKI-587);responder;LL.4;220,302773077698;945,28143585512;4056,04060488685;147,89223032628;6293,01577061651;246,076828934358;4027,06639403044;220,302773077698;4056,04060488685;nM
OVCAR-8 R1;Gemcitabine (LY-188011) HCl;responder;LL.4;1199,79150080257;1538,44071613771;1972,67594868533;0,317476530295899;1972,67594868533;835,012672684801;1850,09942416426;1199,79150080257;1900,49596276288;nM
OVCAR-8 R2;Gemcitabine (LY-188011) HCl;responder;LL.4;0,317476530295899;23,0748403672098;1677,12636104457;0,317476530295899;1972,67594868533;835,012672684801;1850,09942416426;1199,79150080257;1900,49596276288;nM
OVCAR-8 R3;Gemcitabine (LY-188011) HCl;responder;LL.4;1304,92904072154;1574,8055034141;1900,49596276288;0,317476530295899;1972,67594868533;835,012672684801;1850,09942416426;1199,79150080257;1900,49596276288;nM
OVCAR-8 R1;Idasanutlin (RG-7388);responder;LL.4;4609,20145523145;4998,6885071257;5421,08802011907;2714,71713894398;27403,7756095666;3661,95929708771;16412,4318148428;3661,95929708771;16412,4318148428;nM
OVCAR-8 R2;Idasanutlin (RG-7388);failed;NA;NA;NA;NA;2714,71713894398;27403,7756095666;3661,95929708771;16412,4318148428;3661,95929708771;16412,4318148428;nM
OVCAR-8 R3;Idasanutlin (RG-7388);responder;LL.4;2714,71713894398;8625,16662558268;27403,7756095666;2714,71713894398;27403,7756095666;3661,95929708771;16412,4318148428;3661,95929708771;16412,4318148428;nM
OVCAR-8 R1;Lapatinib Ditosylate (Tykerb);responder;LL.4;1901,66482400954;3996,73014721186;8399,93024425425;1901,66482400954;10282,9649405862;4724,59502484685;9275,42198904553;5861,2252961736;9143,37078229611;nM
OVCAR-8 R2;Lapatinib Ditosylate (Tykerb);responder;LL.4;5861,2252961736;7320,61173137113;9143,37078229611;1901,66482400954;10282,9649405862;4724,59502484685;9275,42198904553;5861,2252961736;9143,37078229611;nM
OVCAR-8 R3;Lapatinib Ditosylate (Tykerb);responder;LL.4;6410,89495435742;8119,29849515575;10282,9649405862;1901,66482400954;10282,9649405862;4724,59502484685;9275,42198904553;5861,2252961736;9143,37078229611;nM
OVCAR-8 R1;LJH-685;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R2;LJH-685;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
