Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R1;PID3-0726A1;1;A;2616;LJH-685;1627710-50-2;5000;nM;5;M006;J6;C38;2253560
OVCAR-8 R1;PID3-0726A1;1;A;1799;DMSO;67-68-5;0.2;%;5;C008;A15;C39;636200
OVCAR-8 R1;PID3-0726A1;1;A;1799;Cucurbitacin I (JSI-124);2222-07-3;1000;nM;5;M006;I5;C39;636200
OVCAR-8 R1;PID3-0726A1;1;A;1678;Cobimetinib;934660-93-2;29.15452;nM;5;M006;A19;C40;1663440
OVCAR-8 R1;PID3-0726A1;1;A;1678;Niraparib (MK-4827);1038915-60-4;5000;nM;5;M006;E1;C40;1663440
OVCAR-8 R1;PID3-0726A1;1;A;3185;Paclitaxel (NSC 125973);33069-62-4;0.9765625;nM;5;M006;E14;C41;2656720
OVCAR-8 R1;PID3-0726A1;1;A;3185;Vemurafenib (PLX4032);918504-65-1;10000;nM;5;M006;G7;C41;2656720
OVCAR-8 R1;PID3-0726A1;1;A;3203;Alectinib (CH5424802);1256580-46-7;1250;nM;5;M006;H11;C42;2314720
OVCAR-8 R1;PID3-0726A1;1;A;3203;Paclitaxel (NSC 125973);33069-62-4;7.8125;nM;5;M006;E13;C42;2314720
OVCAR-8 R1;PID3-0726A1;1;A;2560;DMSO;67-68-5;0.2;%;5;C008;A11;C43;1351080
OVCAR-8 R1;PID3-0726A1;1;A;2560;Gemcitabine (LY-188011) HCl;122111-03-9;93.75;nM;5;M006;C21;C43;1351080
OVCAR-8 R1;PID3-0726A1;1;A;2040;Afatinib (BIBW2992);850140-72-6;437.5;nM;5;M006;A5;C44;1538440
OVCAR-8 R1;PID3-0726A1;1;A;2040;Niraparib (MK-4827);1038915-60-4;10000;nM;5;M006;D24;C44;1538440
OVCAR-8 R1;PID3-0726A1;1;A;1404;DMSO;67-68-5;0.1;%;5;C008;A2;C45;2582680
OVCAR-8 R1;PID3-0726A1;1;A;1404;H2O;7732-18-5;50;%;5;C008;C17;C45;2582680
OVCAR-8 R1;PID3-0726A1;1;A;1712;Tamoxifen (ICI 46474);10540-29-1;1250;nM;5;M006;K14;C46;2098280
OVCAR-8 R1;PID3-0726A1;1;A;1712;Paclitaxel (NSC 125973);33069-62-4;7.8125;nM;5;M006;E13;C46;2098280
OVCAR-8 R1;PID3-0726A1;1;A;960;DMSO;67-68-5;0.2;%;5;C008;A18;C47;2450160
OVCAR-8 R1;PID3-0726A1;1;A;960;Palbociclib;571190-30-2;1250;nM;5;M006;E18;C47;2450160
OVCAR-8 R1;PID3-0726A1;1;A;2818;DMSO;67-68-5;0.2;%;5;C008;A14;D2;1813520
OVCAR-8 R1;PID3-0726A1;1;A;2818;Tamoxifen (ICI 46474);10540-29-1;10000;nM;5;M006;K11;D2;1813520
OVCAR-8 R1;PID3-0726A1;1;A;2085;DMSO;67-68-5;0.2;%;5;C008;A11;D3;2346840
OVCAR-8 R1;PID3-0726A1;1;A;2085;Alpelisib (BYL719);1217486-61-7;12.8;nM;5;M006;H17;D3;2346840
OVCAR-8 R1;PID3-0726A1;1;A;3117;H2O;7732-18-5;100;%;10;C008;C2;D4;2202680
OVCAR-8 R1;PID3-0726A1;1;A;1402;Alpelisib (BYL719);1217486-61-7;64;nM;5;M006;H16;D5;1888400
OVCAR-8 R1;PID3-0726A1;1;A;1402;Olaparib (AZD2281);763113-22-0;5000;nM;5;M006;E6;D5;1888400
OVCAR-8 R1;PID3-0726A1;1;A;2947;Luminespib (NVP-AUY922);747412-49-3;100;nM;5;M006;J10;D6;765200
OVCAR-8 R1;PID3-0726A1;1;A;2947;Niraparib (MK-4827);1038915-60-4;10000;nM;5;M006;D24;D6;765200
OVCAR-8 R1;PID3-0726A1;1;A;2632;Carboplatin (NSC 241240);41575-94-4;2500;nM;5;M006;L4;D7;2017360
OVCAR-8 R1;PID3-0726A1;1;A;2632;Navitoclax (ABT-263);923564-51-6;2500;nM;5;M006;D16;D7;2017360
OVCAR-8 R1;PID3-0726A1;1;A;3059;DMSO;67-68-5;0.1;%;5;C008;A24;D8;2570960
OVCAR-8 R1;PID3-0726A1;1;A;3059;H2O;7732-18-5;50;%;5;C008;C24;D8;2570960
OVCAR-8 R1;PID3-0726A1;1;A;690;Trametinib (GSK1120212);871700-17-3;0.8;nM;5;M006;G6;D9;1111000
OVCAR-8 R1;PID3-0726A1;1;A;690;Paclitaxel (NSC 125973);33069-62-4;4000;nM;5;M006;E10;D9;1111000
OVCAR-8 R1;PID3-0726A1;1;A;2665;Carboplatin (NSC 241240);41575-94-4;625;nM;5;M006;L6;D10;348440
OVCAR-8 R1;PID3-0726A1;1;A;2665;AZD7762;860352-01-8;8000;nM;5;M006;H18;D10;348440
OVCAR-8 R1;PID3-0726A1;1;A;1479;Niraparib (MK-4827);1038915-60-4;1250;nM;5;M006;E3;D11;2197960
OVCAR-8 R1;PID3-0726A1;1;A;1479;Pertuzumab (anti-HER2);380610-27-5;5000;nM;5;M006;L18;D11;2197960
OVCAR-8 R1;PID3-0726A1;1;A;1769;DMSO;67-68-5;0.2;%;5;C008;A9;D12;1828960
OVCAR-8 R1;PID3-0726A1;1;A;1769;Palbociclib;571190-30-2;10000;nM;5;M006;E15;D12;1828960
OVCAR-8 R1;PID3-0726A1;1;A;2391;Olaparib (AZD2281);763113-22-0;625;nM;5;M006;E9;D13;840400
OVCAR-8 R1;PID3-0726A1;1;A;2391;Luminespib (NVP-AUY922);747412-49-3;100;nM;5;M006;J10;D13;840400
OVCAR-8 R1;PID3-0726A1;1;A;2747;Adavosertib (MK-1775);955365-80-7;296.2963;nM;5;M006;H6;D14;829440
OVCAR-8 R1;PID3-0726A1;1;A;2747;Trametinib (GSK1120212);871700-17-3;800;nM;5;M006;G3;D14;829440
OVCAR-8 R1;PID3-0726A1;1;A;790;DMSO;67-68-5;0.2;%;5;C008;A19;D15;444720
OVCAR-8 R1;PID3-0726A1;1;A;790;Flavopiridol (L86-8275) HCl;131740-09-5;833.3333;nM;5;M006;C9;D15;444720
OVCAR-8 R1;PID3-0726A1;1;A;325;DMSO;67-68-5;0.2;%;5;C008;A3;D16;2084080
OVCAR-8 R1;PID3-0726A1;1;A;325;Vismodegib (GDC-0449);879085-55-9;5000;nM;5;M006;K17;D16;2084080
OVCAR-8 R1;PID3-0726A1;1;A;2108;Olaparib (AZD2281);763113-22-0;2500;nM;5;M006;E7;D17;1850200
OVCAR-8 R1;PID3-0726A1;1;A;2108;Crizotinib (PF-02341066);877399-52-5;2500;nM;5;M006;A23;D17;1850200
OVCAR-8 R1;PID3-0726A1;1;A;2255;DMSO;67-68-5;0.2;%;5;C008;A10;D18;2000840
OVCAR-8 R1;PID3-0726A1;1;A;2255;Everolimus (RAD001);159351-69-6;4;nM;5;M006;I11;D18;2000840
OVCAR-8 R1;PID3-0726A1;1;A;3214;Carboplatin (NSC 241240);41575-94-4;2500;nM;5;M006;L4;D19;1206920
OVCAR-8 R1;PID3-0726A1;1;A;3214;Trametinib (GSK1120212);871700-17-3;80;nM;5;M006;G4;D19;1206920
OVCAR-8 R1;PID3-0726A1;1;A;1279;Everolimus (RAD001);159351-69-6;0.4;nM;5;M006;I12;D20;1306880
OVCAR-8 R1;PID3-0726A1;1;A;1279;Trametinib (GSK1120212);871700-17-3;800;nM;5;M006;G3;D20;1306880
OVCAR-8 R1;PID3-0726A1;1;A;1561;Mebendalzole;31431-39-7;900;nM;5;M006;L13;D21;711520
OVCAR-8 R1;PID3-0726A1;1;A;1561;Trametinib (GSK1120212);871700-17-3;800;nM;5;M006;G3;D21;711520
OVCAR-8 R1;PID3-0726A1;1;A;3132;Mebendalzole;31431-39-7;900;nM;5;M006;L13;D22;1388040
OVCAR-8 R1;PID3-0726A1;1;A;3132;Olaparib (AZD2281);763113-22-0;5000;nM;5;M006;E6;D22;1388040
OVCAR-8 R1;PID3-0726A1;1;A;171;DMSO;67-68-5;0.2;%;5;C008;A22;D23;2287320
OVCAR-8 R1;PID3-0726A1;1;A;171;Niclosamide (BAY2353);50-65-7;625;nM;5;M006;D21;D23;2287320
OVCAR-8 R1;PID3-0726A1;1;A;2248;Carboplatin (NSC 241240);41575-94-4;1250;nM;5;M006;L5;D24;1902560
OVCAR-8 R1;PID3-0726A1;1;A;2248;Erlotinib;183321-74-6;2500;nM;5;M006;C4;D24;1902560
OVCAR-8 R1;PID3-0726A1;1;A;2713;Niraparib (MK-4827);1038915-60-4;2500;nM;5;M006;E2;D25;1988760
OVCAR-8 R1;PID3-0726A1;1;A;2713;Cerdulatinib (PRT062070, PRT2070);1198300-79-6;2500;nM;5;M006;A13;D25;1988760
OVCAR-8 R1;PID3-0726A1;1;A;1203;Paclitaxel (NSC 125973);33069-62-4;0.9765625;nM;5;M006;E14;D26;1576240
OVCAR-8 R1;PID3-0726A1;1;A;1203;Fludarabine (Fludara);21679-14-1;10000;nM;5;M006;C13;D26;1576240
OVCAR-8 R1;PID3-0726A1;1;A;1179;DMSO;67-68-5;0.2;%;5;C008;A24;D27;2474360
OVCAR-8 R1;PID3-0726A1;1;A;1179;Flavopiridol (L86-8275) HCl;131740-09-5;30.8642;nM;5;M006;C12;D27;2474360
OVCAR-8 R1;PID3-0726A1;1;A;2932;Niraparib (MK-4827);1038915-60-4;1250;nM;5;M006;E3;D28;2120200
OVCAR-8 R1;PID3-0726A1;1;A;2932;Lapatinib Ditosylate (Tykerb);231277-92-2;1428.571;nM;5;M006;C24;D28;2120200
OVCAR-8 R1;PID3-0726A1;1;A;1422;Trametinib (GSK1120212);871700-17-3;8000;nM;5;M006;G2;D29;435120
OVCAR-8 R1;PID3-0726A1;1;A;1422;Pictilisib (GDC-0941);957054-30-7;10000;nM;5;M006;F1;D29;435120
OVCAR-8 R1;PID3-0726A1;1;A;710;Carboplatin (NSC 241240);41575-94-4;5000;nM;5;M006;L3;D30;2526640
OVCAR-8 R1;PID3-0726A1;1;A;710;Vemurafenib (PLX4032);918504-65-1;5000;nM;5;M006;G8;D30;2526640
OVCAR-8 R1;PID3-0726A1;1;A;19;DMSO;67-68-5;0.2;%;5;C008;A4;D31;2616680
OVCAR-8 R1;PID3-0726A1;1;A;19;AZD7762;860352-01-8;12.8;nM;5;M006;H22;D31;2616680
OVCAR-8 R1;PID3-0726A1;1;A;2894;Tamoxifen (ICI 46474);10540-29-1;20000;nM;10;M006;K11;D32;1378400
OVCAR-8 R1;PID3-0726A1;1;A;915;Vismodegib (GDC-0449);879085-55-9;1250;nM;5;M006;K19;D33;2449160
OVCAR-8 R1;PID3-0726A1;1;A;915;Trametinib (GSK1120212);871700-17-3;8;nM;5;M006;G5;D33;2449160
OVCAR-8 R1;PID3-0726A1;1;A;627;Venetoclax (ABT-199);1257044-40-8;10000;nM;5;M006;G12;D34;1021240
OVCAR-8 R1;PID3-0726A1;1;A;627;Trametinib (GSK1120212);871700-17-3;8000;nM;5;M006;G2;D34;1021240
OVCAR-8 R1;PID3-0726A1;1;A;3079;DMSO;67-68-5;0.2;%;5;C008;A7;D35;1428560
OVCAR-8 R1;PID3-0726A1;1;A;3079;Dasatinib (BMS-354825);302962-49-8;1000;nM;5;M006;B8;D35;1428560
OVCAR-8 R1;PID3-0726A1;1;A;2946;DMSO;67-68-5;0.1;%;5;C008;A1;D36;2556920
OVCAR-8 R1;PID3-0726A1;1;A;2946;H2O;7732-18-5;50;%;5;C008;C19;D36;2556920
OVCAR-8 R1;PID3-0726A1;1;A;2447;Vinorelbine ditartrate (Navelbine);125317-39-7;20000;nM;10;M006;G17;D37;900760
OVCAR-8 R1;PID3-0726A1;1;A;2005;Paclitaxel (NSC 125973);33069-62-4;0.9765625;nM;5;M006;E14;D38;1657440
OVCAR-8 R1;PID3-0726A1;1;A;2005;Erlotinib;183321-74-6;10000;nM;5;M006;C3;D38;1657440
OVCAR-8 R1;PID3-0726A1;1;A;1254;Trametinib (GSK1120212);871700-17-3;8;nM;5;M006;G5;D39;1890600
OVCAR-8 R1;PID3-0726A1;1;A;1254;Selpercatinib (LOXO-292);2152628-33-4;5000;nM;5;M006;K2;D39;1890600
OVCAR-8 R1;PID3-0726A1;1;A;2016;Niraparib (MK-4827);1038915-60-4;625;nM;5;M006;E4;D40;2226440
OVCAR-8 R1;PID3-0726A1;1;A;2016;Fludarabine (Fludara);21679-14-1;625;nM;5;M006;C17;D40;2226440
OVCAR-8 R1;PID3-0726A1;1;A;1916;Venetoclax (ABT-199);1257044-40-8;5000;nM;5;M006;G13;D41;1999880
OVCAR-8 R1;PID3-0726A1;1;A;1916;Niraparib (MK-4827);1038915-60-4;5000;nM;5;M006;E1;D41;1999880
OVCAR-8 R1;PID3-0726A1;1;A;1783;Tamoxifen (ICI 46474);10540-29-1;2500;nM;5;M006;K13;D42;2263960
OVCAR-8 R1;PID3-0726A1;1;A;1783;Olaparib (AZD2281);763113-22-0;2500;nM;5;M006;E7;D42;2263960
OVCAR-8 R1;PID3-0726A1;1;A;1477;Niraparib (MK-4827);1038915-60-4;625;nM;5;M006;E4;D43;2644720
OVCAR-8 R1;PID3-0726A1;1;A;1477;Defactinib (VS-6063, PF-04554878);1073154-85-4;625;nM;5;M006;B16;D43;2644720
OVCAR-8 R1;PID3-0726A1;1;A;1284;Palbociclib;571190-30-2;2500;nM;5;M006;E17;D44;2250360
OVCAR-8 R1;PID3-0726A1;1;A;1284;Olaparib (AZD2281);763113-22-0;2500;nM;5;M006;E7;D44;2250360
OVCAR-8 R1;PID3-0726A1;1;A;1286;DMSO;67-68-5;0.2;%;5;C008;A3;D45;1282400
OVCAR-8 R1;PID3-0726A1;1;A;1286;Gemcitabine (LY-188011) HCl;122111-03-9;23.4375;nM;5;M006;C22;D45;1282400
OVCAR-8 R1;PID3-0726A1;1;A;2794;Alpelisib (BYL719);1217486-61-7;1600;nM;5;M006;H14;D46;1789120
OVCAR-8 R1;PID3-0726A1;1;A;2794;Niraparib (MK-4827);1038915-60-4;5000;nM;5;M006;E1;D46;1789120
OVCAR-8 R1;PID3-0726A1;1;A;2116;Trametinib (GSK1120212);871700-17-3;16000;nM;10;M006;G2;D47;1103800
